,State,Year,Total Revenues,Total Expenditures,Enrollment,Average Math Score (4th Grade),Average Math Score (8th Grade),Average Reading Score (4th Grade),Average Reading Score (8th Grade),Average Revenue per Student,Average Spend per Student
157,Colorado,2015,9648297.0,9557682.0,872320.0,241.563575620412,285.539188724412,224.023224923274,268.073225333677,11060.50188004402,10956.623716067497
172,Connecticut,2003,6959891.0,6751815.0,548466.0,240.61524163452304,283.729811207579,228.340614955382,267.218075351081,12689.740111511015,12310.36199144523
174,Connecticut,2005,7898694.0,7452057.0,552512.0,242.12073236174197,281.068953005311,225.753019686927,264.012759246181,14295.968232364183,13487.593029653654
176,Connecticut,2007,8913149.0,8685421.0,549230.0,242.755646830159,282.472790062009,227.203649213779,267.055691390062,16228.445277934561,15813.813884893396
178,Connecticut,2009,9681268.0,9323053.0,539250.0,244.717742733409,288.608513451696,228.97211669940896,271.810133169712,17953.20908669448,17288.925359295317
180,Connecticut,2011,9783168.0,9439182.0,530132.0,242.413406903396,286.999944694085,227.42730425383598,274.681399470751,18454.21140395222,17805.342820278725
182,Connecticut,2013,10319361.0,9758850.0,517812.0,243.440297394202,285.243972274119,229.58159936534,274.459542474537,19928.779170818754,18846.31874116475
184,Connecticut,2015,11099837.0,10542667.0,505366.0,240.159468855002,283.956677264342,228.947543364196,273.048030410963,21963.95681545652,20861.44893008236
199,Delaware,2003,1242436.0,1317447.0,111282.0,235.859424549367,277.158368932433,223.928811406218,264.532051451005,11164.752610485075,11838.814902679678
201,Delaware,2005,1431710.0,1480157.0,112562.0,239.71691237716598,280.95354283122003,225.83845909292003,266.00936537348,12719.3013628045,13149.704163039036
203,Delaware,2007,1694929.0,1705204.0,114678.0,241.794894891207,282.992082743316,225.07054230184897,264.544830664544,14779.896754390555,14869.49545684438
205,Delaware,2009,1718993.0,1798244.0,116804.0,239.490569439364,283.829472979958,225.513086784412,264.998966063101,14716.901818430875,15395.397417896647
207,Delaware,2011,1759170.0,1808905.0,119878.0,240.359832433478,282.769966403216,225.13051109460704,265.83947553632004,14674.669247067852,15089.549375198118
209,Delaware,2013,1930466.0,1924626.0,118685.0,243.107758182676,282.338298596548,225.77165116252,265.98498149856204,16265.458988077686,16216.253106963812
211,Delaware,2015,2017075.0,1975093.0,121845.0,238.67801881991002,279.810243773994,223.69869684708095,262.613290731544,16554.4339119373,16209.881406705239
226,District of Columbia,2003,1114061.0,1105963.0,67522.0,204.919850427599,243.05963824765098,188.374478503638,238.700733278197,16499.229880631498,16379.298598975147
228,District of Columbia,2005,1109605.0,1085658.0,62306.0,211.122298531209,245.215780768922,190.78735568684,238.20309296002998,17808.9590087632,17424.61400186178
230,District of Columbia,2007,1148358.0,1140506.0,56943.0,213.698898810354,248.198742417967,197.08595039547401,240.793624795109,20166.798377324692,20028.906099081538
232,District of Columbia,2009,801008.0,805362.0,44331.0,219.260141025805,253.595186871272,201.984637739722,242.49042430531398,18068.80061356613,18167.016309129052
234,District of Columbia,2011,1283071.0,1297175.0,44199.0,221.808283121753,260.46687784992,200.627987932281,242.056368171996,29029.412430145476,29348.51467227765
236,District of Columbia,2013,1300036.0,1308438.0,44179.0,228.56725387257598,265.259365712508,205.613936927868,247.739153738325,29426.560130378686,29616.740985536115
238,District of Columbia,2015,1382282.0,1360942.0,46155.0,231.307525116183,263.059776256545,212.305347670353,247.65344494672402,29948.694615967936,29486.33950817896
263,Florida,2003,19549835.0,20180142.0,2536699.0,233.72881145807003,271.371490239171,218.014488158342,257.30131978689604,7706.8012405098125,7955.276522756543
265,Florida,2005,23216404.0,23857012.0,2645280.0,238.930649601433,274.04837689747995,219.465222176412,255.77997000492599,8776.539345551322,9018.709550595779
267,Florida,2007,28898362.0,29849892.0,2656176.0,242.02025001893003,277.383497256758,223.534926816656,259.790720651776,10879.68643644096,11237.919475215496
269,Florida,2009,26494500.0,28867429.0,2623067.0,241.944909379496,279.33526411278,225.67340734479401,264.362040854787,10100.580732402184,11005.219843793544
271,Florida,2011,26453693.0,26991946.0,2636404.0,239.826451038787,277.837035214102,224.528585389604,262.121374840411,10034.00578970446,10238.167594951305
273,Florida,2013,24681548.0,25245400.0,2680074.0,241.675809566843,280.855839554008,227.46317661052,265.828297127322,9209.278549771387,9419.665277899043
275,Florida,2015,26971491.0,27277049.0,2743641.0,242.66432092861402,275.32381795874903,227.188968975009,263.383001406664,9830.546707823654,9941.916234667728
290,Georgia,2003,13524807.0,13516783.0,1495819.0,230.254976798559,269.677009232403,213.597219332523,257.714824971911,9041.740344252881,9036.376058868085
292,Georgia,2005,14724731.0,14492666.0,1552758.0,233.635737790752,272.191564411022,214.430920543413,256.872381537265,9482.95291346108,9333.499489295822
294,Georgia,2007,17755989.0,17389530.0,1628409.0,235.209017091471,274.778664644925,218.888171260588,258.70499279234,10903.887782491991,10678.846653389905
296,Georgia,2009,17972839.0,19025136.0,1649598.0,236.029572886478,277.561199732371,217.84810573368802,260.244524519648,10895.284184389166,11533.195360324153
298,Georgia,2011,18030043.0,17187481.0,1666039.0,238.366542086539,278.483619188656,220.810720110917,262.358643383963,10822.101403388515,10316.373746352876
300,Georgia,2013,17459504.0,17317504.0,1682620.0,240.04723664592998,279.179110912454,221.83671251456798,264.615713463699,10376.379693573119,10291.987495691243
302,Georgia,2015,18584666.0,18501103.0,1717805.0,236.452519256357,278.711796774375,222.013497271819,262.268605314622,10818.84497949418,10770.199760741178
317,Hawaii,2003,2078877.0,1602392.0,183829.0,226.834610206384,265.728581015081,208.259567530742,251.284801856226,11308.754331471095,8716.753069428654
319,Hawaii,2005,2274166.0,1765805.0,183185.0,230.096875403391,265.629319114115,209.578767644628,248.50542302122105,12414.58634713541,9639.462838114474
321,Hawaii,2007,2985593.0,2199604.0,180728.0,234.286134982354,268.77201335193297,213.496554967804,251.33081069192403,16519.814306582266,12170.798105440219
323,Hawaii,2009,2689758.0,2318671.0,179478.0,235.679780829025,273.758606683625,210.61641868594,254.738979931593,14986.561026978237,12918.970570209161
325,Hawaii,2011,2499513.0,2259104.0,179601.0,238.82192776062,277.836211052583,213.61457117423,257.188010446519,13917.032755942339,12578.460030846154
327,Hawaii,2013,2331770.0,2345917.0,184760.0,243.308618941163,281.41292228842497,214.843879930676,259.96056954683496,12620.534747780905,12697.104351591253
